city_slug,date,outlet,headline,url,kind
asheville,2026-08-11,Asheville.com,Blue Ridge Pride Expands Its Asheville Festival to Two Days,https://www.asheville.com/news/2026/08/blue-ridge-pride-expands-its-asheville-festival-to-two-days/,pride
asheville,2026-06-25,BPR (Blue Ridge Public Radio),"With the debut of AVL Stonewall Fest, Asheville has June Pride once more",https://www.bpr.org/arts-performance/2026-06-25/with-the-debut-of-avl-stonewall-fest-asheville-has-june-pride-once-more,pride
asheville,2026-06-24,Asheville.com,AVL Stonewall Fest Plans Free Pride Weekend at Asheville Yards,https://www.asheville.com/news/2026/06/avl-stonewall-fest-plans-free-pride-weekend-at-asheville-yards/,pride
asheville,2025-03-07,BPR (Blue Ridge Public Radio),'So much more than a dance club': Asheville gay club Scandals closes after four decades,https://www.bpr.org/bpr-news/2025-03-07/so-much-more-than-a-dance-club-asheville-gay-club-scandals-closes-after-four-decades,community
raleigh-durham,2026-06-23,DoRaleigh,"Out! Raleigh Pride Festival Returns June 26-27 – Celebrate Love, Community, and Inclusion in Downtown Raleigh",https://doraleigh.com/2026/06/23/out-raleigh-pride-festival-2026/,pride
raleigh-durham,2026-09-17,Discover Durham,"Your Guide to Pride: Durham, NC",https://www.discoverdurham.com/blog/your-guide-to-pride-durham-nc/,pride
st-pete,2026-03-13,WUSF,"Florida's 2026 legislative session ends: What passed, what failed and what's next?",https://www.wusf.org/politics-issues/2026-03-13/florida-2026-legislative-session-ends-what-passed-what-failed-whats-next,legal
sarasota,2026-06-11,Project Pride SRQ (organizer blog),"Silver Pride 2026 Celebrated Community, Connection, and Belonging",https://www.ppsrq.org/post/silver-pride-2026-celebrated-community-connection-and-belonging,community
sarasota,2026-05-04,Project Pride SRQ (organizer blog),Celebrating the History and Spirit of Gulfcoast Pride,https://www.ppsrq.org/lgbtq-news-sarasota,pride
sarasota,2026-04-23,Project Pride SRQ (organizer blog),Project Pride SRQ Board of Directors Announces Leadership Transition,https://www.ppsrq.org/post/project-pride-srq-board-of-directors-announces-leadership-transition,community
wilton-manors,2026-09-08,OutSFL,Wilton Manors Election 2026 – Our Continuing Coverage,https://outsfl.com/wilton-manors/election-2026-our-continuing-coverage,other
key-west,2026-09-18,WLRN,Key West arts board approves funding for possible LGBTQ+ mural,https://www.wlrn.org/arts-culture/2026-09-18/key-west-arts-board-approves-funding-for-possible-lgbtq-mural,community
key-west,2026-06-04,WLRN,"Key West Pride kicks off with 'more passion' following DEI cuts, rainbow crosswalk fight",https://www.wlrn.org/arts-culture/2026-06-04/key-west-pride-festival-dei-funding-rainbow,pride
key-west,2026-05-10,Metro Weekly,Florida Anti-DEI Law Will Cut Funding for Key West Pride Events,https://www.metroweekly.com/2026/05/florida-anti-dei-law-key-west-pride-funding/,legal
rehoboth,2026-07-16,Cape Gazette,Rehoboth Beach Pride festival returns July 18,https://www.capegazette.com/article/rehoboth-beach-pride-festival-returns-july-18/353239,pride
rehoboth,2026-06-10,Washington Blade,Rehoboth's Pride on the Bay set for June 27,https://www.washingtonblade.com/2026/06/10/rehoboth-pride-on-the-bay-june-27/,pride
rehoboth,2026-03-12,Cape Gazette,CAMP Rehoboth names new executive director,https://www.capegazette.com/article/camp-rehoboth-names-new-executive-director/301765,community
rehoboth,2025-11-21,Cape Gazette,City of Rehoboth Beach achieves perfect score on 2025 Municipal Equality Index,https://www.capegazette.com/article/city-rehoboth-beach-achieves-perfect-score-2025-municipal-equality-index%C2%A0/298481,legal
provincetown,2026-08-26,The Provincetown Independent,"David Lund, an Advocate for Gay Rights, Dies at 77",https://provincetownindependent.org/obituaries/2026/08/26/david-lund-an-advocate-for-gay-rights-dies-at-77/,community
provincetown,2026-06-10,The Provincetown Independent,"Pride as Protest, Even Far From Provincetown",https://provincetownindependent.org/inner-voices/2026/06/10/pride-as-protest-even-far-from-provincetown/,pride
ogunquit,2026-09-10,EqualityMaine,EqualityMaine Executive Director Announces Departure,https://www.equalitymaine.org/executive-director-announces-departure/,community
ogunquit,2026-06-30,EqualityMaine,Court Rules That States May Ban Transgender Girls from Girls' Sports; Maine's Inclusive Policies Remain Legal,https://www.equalitymaine.org/court-rules-that-states-may-ban-transgender-girls-from-girls-sports-maines-inclusive-policies-remain-legal/,legal
palm-springs,2026-09-14,KESQ,Greater Palm Springs Pride announces 2026 Grand Marshals for 40th anniversary,https://kesq.com/news/2026/09/14/greater-palm-springs-pride-announces-2026-grand-marshals-for-40th-anniversary/,pride
palm-springs,2026-06-30,KESQ,Two Coachella Valley hospitals recognized for LGBTQ+ inclusive care during Pride Month,https://kesq.com/news/local-news/2026/06/30/two-coachella-valley-hospitals-recognized-for-lgbtq-inclusive-care-during-pride-month/,community
palm-springs,2026-02-18,KESQ,Palm Springs City Council to consider directly elected mayor change,https://kesq.com/news/2026/02/18/palm-springs-city-council-to-consider-directly-elected-mayor-change/,other
palm-springs,2025-12-15,KESQ,Palm Desert City Council shuts down request to stop recognizing Pride Month,https://kesq.com/news/2025/12/15/palm-desert-city-council-shuts-down-request-to-stop-recognizing-pride-month/,legal
palm-springs,2025-11-24,KESQ,Palm Springs rededicates two LGBTQ+ memorials,https://kesq.com/news/2025/11/24/palm-springs-rededicates-two-lgbtq-memorials/,community
guerneville,2026-09-19,The Press Democrat,"Russian River Pride fills downtown Guerneville with color, music and celebration",https://www.pressdemocrat.com/2026/09/19/russian-river-pride-fills-downtown-guerneville-with-color-music-and-celebration/,pride
guerneville,2026-09-17,The Press Democrat,Russian River Pride Parade and Festival returns this weekend. Here's what's in store,https://www.pressdemocrat.com/2026/09/17/russian-river-pride-parade-and-festival-returns-this-weekend-heres-whats-in-store/,pride
guerneville,2026-06-06,The Press Democrat,"Music, glitter and rainbow flags flood downtown Santa Rosa for Pride",https://www.pressdemocrat.com/2026/06/06/music-glitter-and-rainbow-flags-flood-downtown-santa-rosa-for-pride/,pride
guerneville,2026-04-25,The Press Democrat,Legendary Guerneville hotel relisted for sale,https://www.pressdemocrat.com/2026/04/25/legendary-guerneville-hotel-relisted-for-sale/,community
portland,2026-06-05,Portland Mercury,Hawks Reimagined,https://www.portlandmercury.com/queer/hawks-reimagined/,community
portland,2026-03-18,Portland Mercury,Blow Pony Rides Into the Sunset,https://www.portlandmercury.com/queer/blow-pony-rides-into-the-sunset-48384795/,community
